index,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,time_signature,valence
90,Road Train,Nonagon Infinity,King Gizzard & The Lizard Wizard,4/29/2016,258275,37,0.595,0.0338,0.595,0.923,0.87,9,0.854,-6.803,0.0975,131.891,4,0.473
91,Sense,Paper Mâché Dream Balloon,King Gizzard & The Lizard Wizard,11/13/2015,210653,54,0.534,0.505,0.534,0.6,0.316,5,0.188,-9.138,0.28,202.086,4,0.653
92,Bone,Paper Mâché Dream Balloon,King Gizzard & The Lizard Wizard,11/13/2015,136293,40,0.53,0.655,0.53,0.496,0.00402,7,0.152,-7.595,0.0306,124.088,4,0.648
93,Dirt,Paper Mâché Dream Balloon,King Gizzard & The Lizard Wizard,11/13/2015,170920,36,0.561,0.572,0.561,0.624,0.464,4,0.215,-7.388,0.0297,125.02,4,0.502
94,Paper Mâché Dream Balloon,Paper Mâché Dream Balloon,King Gizzard & The Lizard Wizard,11/13/2015,159506,37,0.268,0.2,0.268,0.68,0.00162,4,0.132,-6.049,0.0306,172.791,4,0.654
95,Trapdoor,Paper Mâché Dream Balloon,King Gizzard & The Lizard Wizard,11/13/2015,158826,38,0.53,0.728,0.53,0.834,0.782,7,0.602,-5.227,0.0339,104.086,4,0.555
96,Cold Cadaver,Paper Mâché Dream Balloon,King Gizzard & The Lizard Wizard,11/13/2015,163946,35,0.455,0.23,0.455,0.784,0.0259,5,0.534,-4.932,0.0559,86.366,4,0.569
97,The Bitter Boogie,Paper Mâché Dream Balloon,King Gizzard & The Lizard Wizard,11/13/2015,269200,36,0.512,0.286,0.512,0.65,0.043,2,0.332,-5.937,0.0294,122.032,4,0.477
98,N.G.R.I (Bloodstain),Paper Mâché Dream Balloon,King Gizzard & The Lizard Wizard,11/13/2015,145626,34,0.209,0.127,0.209,0.903,0.901,5,0.553,-5.311,0.0417,173.3,4,0.769
99,Time = Fate,Paper Mâché Dream Balloon,King Gizzard & The Lizard Wizard,11/13/2015,146720,33,0.666,0.555,0.666,0.741,0.104,4,0.365,-7.573,0.0325,120.859,4,0.847
100,Time = $$$,Paper Mâché Dream Balloon,King Gizzard & The Lizard Wizard,11/13/2015,124613,33,0.666,0.713,0.666,0.734,0.0469,6,0.16,-9.051,0.0342,129.426,4,0.665
101,Most Of What I Like,Paper Mâché Dream Balloon,King Gizzard & The Lizard Wizard,11/13/2015,197960,34,0.506,0.479,0.506,0.723,3.44E-05,6,0.13,-7.439,0.0338,117.085,4,0.782
102,Paper Mâché,Paper Mâché Dream Balloon,King Gizzard & The Lizard Wizard,11/13/2015,149946,32,0.462,0.933,0.462,0.387,0.495,5,0.114,-8.137,0.0452,117.14,4,0.531
103,The River,Quarters!,King Gizzard & The Lizard Wizard,5/11/2015,610253,42,0.485,0.532,0.485,0.737,0.503,6,0.192,-4.553,0.0418,115.038,4,0.529
104,Infinite Rise,Quarters!,King Gizzard & The Lizard Wizard,5/11/2015,610026,33,0.286,0.471,0.286,0.703,0.401,1,0.347,-4.764,0.0706,173.384,4,0.307
105,God is in the Rhythm,Quarters!,King Gizzard & The Lizard Wizard,5/11/2015,610013,35,0.429,0.639,0.429,0.843,0.303,3,0.381,-4.238,0.0485,139.883,4,0.559
106,Lonely Steel Sheet Flyer,Quarters!,King Gizzard & The Lizard Wizard,5/11/2015,610240,32,0.315,0.252,0.315,0.931,0.883,11,0.791,-3.593,0.0409,108.111,4,0.537
107,I'm In Your Mind,I'm In Your Mind Fuzz,King Gizzard & The Lizard Wizard,10/31/2014,213590,48,0.296,0.00591,0.296,0.776,0.801,6,0.597,-5.63,0.0597,93.481,4,0.406
108,I'm Not In Your Mind,I'm In Your Mind Fuzz,King Gizzard & The Lizard Wizard,10/31/2014,178261,42,0.317,0.000414,0.317,0.739,0.835,6,0.0931,-6.197,0.0479,91.549,4,0.531
109,Cellophane,I'm In Your Mind Fuzz,King Gizzard & The Lizard Wizard,10/31/2014,190785,44,0.432,0.00213,0.432,0.887,0.916,7,0.12,-6.175,0.123,92.965,4,0.357
110,I'm In Your Mind Fuzz,I'm In Your Mind Fuzz,King Gizzard & The Lizard Wizard,10/31/2014,171829,42,0.335,0.0169,0.335,0.817,0.98,6,0.563,-6.159,0.0605,94.525,4,0.245
111,Empty,I'm In Your Mind Fuzz,King Gizzard & The Lizard Wizard,10/31/2014,250699,41,0.286,0.0827,0.286,0.847,0.168,9,0.371,-6.217,0.103,157.543,3,0.291
112,Hot Water,I'm In Your Mind Fuzz,King Gizzard & The Lizard Wizard,10/31/2014,203787,40,0.627,0.86,0.627,0.609,0.89,9,0.116,-9.387,0.0332,86.861,4,0.734
113,Am I In Heaven?,I'm In Your Mind Fuzz,King Gizzard & The Lizard Wizard,10/31/2014,425872,43,0.267,0.00781,0.267,0.903,0.0372,6,0.484,-4.323,0.0943,105.075,4,0.146
114,Slow Jam 1,I'm In Your Mind Fuzz,King Gizzard & The Lizard Wizard,10/31/2014,174563,50,0.421,0.352,0.421,0.732,0.792,6,0.365,-7.762,0.0885,175.42,4,0.734
115,Satan Speeds Up,I'm In Your Mind Fuzz,King Gizzard & The Lizard Wizard,10/31/2014,219083,39,0.353,0.959,0.353,0.692,0.769,7,0.247,-6.296,0.0602,75.861,4,0.368
116,Her And I (Slow Jam 2),I'm In Your Mind Fuzz,King Gizzard & The Lizard Wizard,10/31/2014,495215,46,0.538,0.0123,0.538,0.856,0.0799,4,0.251,-7.113,0.0637,117.042,4,0.534
